Title,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot,hdr,uhd,subtitles,len_subtitles,len_audio,starring,directors,Title Type,Genre1,Genre2,Genre3,Original or Licensed,Trailer Available,# of Dubbing Languages,# of Subtitle Languages
Mere Yaar Ki Shaadi Hai,Hindi,5.3,159,2002,All,"Sanjay's (Uday Chopra) phone rings. Anjali (Sanjana) his childhood friend is getting married. Observing Sanjay’s reaction to this news, his flatmate Ria (Bipasha Basu) concludes that Sanjay is in love with her. Sanjay sets off on a noble mission - to break the wedding. He meets the groom to be Rohit (Jimmy Shergill) and sets off on his crusade of poisoning the family’s mind against Rohit.",,,,,,,,Movie,Romance, International, Drama,Licensed,Yes,1,4
Ishhya,Marathi,5.5,119,2006,All,"Vaibhav and Rasika, a happily married couple, get along despite their opposite natures. Their only conflict arises when Vaibhav wants children and Rasika refuses to get pregnant and ruin her figure. What follows is an unexpected turn of events!",,,,,,,,Movie,International, Comedy,,Licensed,Yes,1,1
Manikarnika: The Queen of Jhansi,Tamil,6.4,140,2019,16+,Manikarnika – Queen of Jhansi or well known as Lakshmi Bai of Jhansi is her real live story. She was the first woman in history to fight against the British in the cry of Independence.,,,,,,,,Movie,Historical, Action, Drama,Licensed,Yes,3,20
Evil Eye,English,4.7,89,2020,16+,Welcome to the Blumhouse! A superstitious mother is convinced that her daughter’s new boyfriend is the reincarnation of a man who tried to kill her 30 years ago.,,,,,,,,Movie,Drama,,,Original,Yes,10,29
Mardaani,Hindi,7.3,113,2014,18+,"India is the world's hub for child sex trafficking. Shivani Shivaji Roy, Senior Inspector, Crime Branch, Mumbai Police, sets out to confront the mastermind behind a child trafficking mafia, who makes the mistake of kidnapping and smuggling a teenage girl, Pyari. What follows is a cat and mouse game between a fearless cop and a young and ruthless mafia kingpin in a war which is very personal.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,11
Honeymoon Travels Pvt Ltd,Hindi,6.1,119,2007,13+,"The honeymoon trip covers many aspects of life around the lives of six very different married couples travelling together in a bus. The movie brings the lives of each couple closer depicting how each of them deals with their problems differently. The story is filled with real life incidents, comedy and many more hidden secrets, making for an entertaining drama and a must watch!",,,,,,,,Movie,Comedy, Drama, International,Licensed,Yes,1,2
Sharkwater Extinction,English,7.7,84,2019,16+,"Sharkwater Extinction is a thrilling, action adventure journey that follows filmmaker Rob Stewart as he exposes the billion dollar illegal shark fin industry and the political corruption behind it.",,,,,,,,Documentary,International, Documentary,,Original,No,2,28
Generation Wealth,English,6.7,106,2018,18+,"Lauren Greenfield’s postcard from the edge of the American Empire captures a portrait of a materialistic, image-obsessed culture. Simultaneously personal journey and historical essay, the film bears witness to the global boom–bust economy, the corrupted American Dream, and the human costs of late stage capitalism, narcissism, and greed.",,,,,,,,Documentary,Documentary,,,Original,Yes,1,2
Aurangzeb,Hindi,6.5,137,2013,16+,Gurgaon rose from a small town to a boom town satellite city in just 15 years.Under the guise of a respected citizen Yashwardhan (Jackie Shroff) runs a parallel world where he is an Emperor. When Vishal (Arjun Kapoor) is planted in Yashwardhan's world in place of Ajay (Arjun Kapoor) the lawmakers (Rishi Kapoor & Prithviraj) roll the dice to unravel events in a world where Kingship knows no Kinship,,,,,,,,Movie,International, Drama,,Licensed,Yes,1,5
Ae Dil Hai Mushkil,Hindi,5.8,155,2016,13+,"In this romantic drama, a popular singer Ayan Senger (Ranbir Kapoor) recounts his turbulent relationship with Alizeh Khan (Anushka Sharma) during an interview based on the love of his life. He reminisces about their chance meeting in London, their troubled, unrequited love, his personal growth over the years and how this relationship shaped his destiny.",,,,,,,,Movie,Drama, Romance, International,Licensed,Yes,1,12
Golmaal Again,Hindi,5,144,2017,13+,"Golmaal Again is fun filled ride about two gangs who are unable to stand each other since their childhood and how they repulse each other even after they grow up. It is an adventure with its fair share of thrills that are sure to surprise the audience and fill their hearts with laughter and joy. This film will surely make everyone laugh, cry and realize the importance of how beautiful life is.",,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,10
Bhikari,Marathi,6,123,2017,13+,A beautiful story of a mother and son where one day an accident leaves the mother in a state of coma and to save her life the son has to go through various sacrifises to save his mother.,,,,,,,,Movie,Romance,,,Licensed,Yes,1,1
Full 3 Dhamaal,Marathi,5.7,110,2008,All,"Tired of their daily scheduled lives, three housewives and old-time friends decide to take a vacation together. But as soon as they reach their destination, they find themselves neck-deep in trouble.",,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,1
Transformers: Revenge of the Fallen,English,6,149,2009,13+,The battle for Earth continues when college-bound Sam Witwicky learns the truth about the ancient origins of the Transformers and must join in their continued battle against the Decepticons.,,,,,,,,Movie,Action, Science Fiction,,Licensed,Yes,17,33
Troop Zero,English,6.9,97,2020,7+,"In rural 1977 Georgia, a misfit girl dreams of life in outer space.  When a national competition offers her a chance at her dream, to be recorded on NASA’s Golden Record, she recruits a makeshift troop of Birdie Scouts, forging friendships that last a lifetime and beyond.",,,,,,,,Movie,Kids,,,Licensed,No,12,29
Salaam Namaste,Hindi,6.2,158,2005,13+,"Nick (Saif Ali Khan) is a chef. Ambar (Preity Zinta)is a Radio Jockey. They’re young, cool, independent and together they make the perfect pair! Or do they? Nick and Ambar take a huge leap of faith as they decide to move in together. Soon they realize they have little in common. SALAAM NAMASTE gives us a quirky take on life, love and relationship as it looks at a fairy tale with a bit of a squint.",,,,,,,,Movie,Romance, International, Drama,Licensed,Yes,1,8
Maai Baap,Marathi,None,110,2007,All,Maai Baap' is about a couple's struggle to lead normal lives after they lose their young son in a local train bomb blast.,,,,,,,,Movie,Drama, International,,Licensed,Yes,1,1
Beautiful Boy,English,7.3,2,2018,18+,"Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse, and recovery in a family coping with addiction over many years.",,,,,,,,Movie,Drama,,,Original,Yes,3,2
Rocket Singh Salesman of the Year,Hindi,7.5,154,2009,13+,"Harpreet Singh Bedi has just graduated and decides to five into the world of sales for an adventurous career. But soon his idea of success begins to clash. It's the story of a fresh graduate trying to find a balance between the maddening demands of the ‘professional’ way, and the way of his heart - and stumbling upon a crazy way which turned his world upside down and his career right side up.",,,,,,,,Movie,Comedy, Drama, International,Licensed,Yes,1,8
Terminator Genisys,English,6.3,125,2015,13+,"When John Connor sends Kyle Reese back to 1984 to protect a young Sarah Connor, unexpected events alter the past and threaten the future for all mankind. Charged with a new mission, Reese must join forces with Sarah and her “Guardian” to save the world.",,,,,,,,Movie,Adventure, Action,,Licensed,Yes,13,30
Manya Sajjana,Marathi,None,2,2008,All,"A quirk of fate leads to Manya (Makrand Anaspure), a convict at large, being mistaken for an Oxford graduate and working for a college in Sajjanpur to improve its standards. But his lover follows him, leading to chaos.",,,,,,,,Movie,International, Comedy,,Licensed,Yes,1,1
Mahanati (Telugu),Telugu,8.5,170,2018,All,"Mahanati is a film about the rise of the first female south Indian superstar – Savitri. Her story one of the most heart wrenching romantic tragedies of our times.This film tells a story of the Mahanati; her life, her journey to fame, and the dramatic downfall. Keerthy Suresh, elegantly brought Savitri to life, and Gemini Ganesan, played by Dulquer Salman, makes this film a true pleasure to watch",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,10
Yatra (Malayalam),Malayalam,8.2,125,2019,All,An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,,,,,,,,Movie,International, Drama,,Licensed,Yes,1,1
Cat in the Hat,English,4,81,2003,7+,"It starts with two kids on a cold, cold, wet day their mom is at work, and they've no games to play! Then in walks the fun in the form of a Cat who pulls out the laughs from the brim of his hat.",,,,,,,,Movie,Comedy, Kids,,Licensed,Yes,23,26
Alvin and the Chipmunks: The Squeakquel,English,4.5,88,2009,All,"Alvin, Simon and Theodore return for another hilarious musical adventure, but this time they may just meet their match - a singing trio of female chipmunks called ""The Chipettes.""",,,,,,,,Movie,Kids,,,Licensed,Yes,9,27
Gold,Hindi,7.3,145,2018,13+,"Set in 1948, the historical story of India's first Olympic medal posts their independence.",,,,,,,,Movie,International, Drama, Sports,Licensed,Yes,1,6
Hear No Evil,English,5.1,96,1993,18+,A deaf woman becomes the target of a ruthless and corrupt cop.,,,,,,,,Movie,Horror,,,Licensed,No,1,1
Bazaar,Kannada,5.9,147,2019,13+,"Kalki is an ardent follower of pigeon racing, which ultimately leads him to working for a mob boss who shares the same passion. Howevere, his dream of becoming a champion in the spot and his quest to win over the girl he loves wil eventually leave Kalki at a crossroads, and what happens next forms the crux of the story.",,,,,,,,Movie,Romance,,,Licensed,Yes,1,3
Hit (The First Case),Telugu,7.7,128,2020,13+,"Vikram is a 30-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",,,,,,,,Movie,International, Suspense,,Licensed,Yes,1,4
Srinivasa Kalyanam,Hindi,6.1,122,2018,All,Srinivas is a tradional guy who believes that marriage is the greatest festival. He meets Sri & both eventually fall in love with each other. Sri's father RK believes that marriage is not worth wasting a lot of time. The moral conflict arises as R.K. & Srinivas have contradictory views about the marriage. How Srinivas changes the views of R.K & blissfully marriage occurs is the rest of the story.,,,,,,,,Movie,International, Drama,,Licensed,Yes,1,8
Shuddh Desi Romance,Hindi,5.8,126,2013,13+,"Raghu (Sushant Singh Rajput), a tourist guide in Jaipur, wants love in his life. Gayatri (Parineeti Chopra), a part-time instructor, has been around the block a few times. Tara (Vaani Kapoor), who's dying to get out there and fly, knows what's right for her. 3 young people who junk the society's syllabus for finding love, get their beliefs challenged and loves tested as their lives crisscross.",,,,,,,,Movie,Drama, Romance,,Licensed,Yes,1,8
Touch Chesi Chudu,Telugu,4.8,141,2018,13+,"Karthikeya(Ravi Teja) is a businessman who keeps his family first before anything. He has a tough time convincing Pushpa(Raashi Khanna) whom he met in a match making, to marry him and when things seem to be going fine, he suddenly comes across Irfan, a criminal with whom he shares a dreaded past. Who is Irfan? What is the past that connects both of them? What is the shocking fact revealed later?",,,,,,,,Movie,Drama, Romance, Erotic,Licensed,Yes,1,10
Padmaavat,Telugu,7,162,2018,13+,"Set in 1303 AD medieval India, Padmaavat is the story of honor, valor and obsession. Queen Padmavati is known for her exceptional beauty along with a strong sense of justice and is the wife of Maharawal Ratan Singh and pride of the Kingdom of Chittor, a prosperous kingdom in the north west of India. The legend of her beauty reaches the reigning sultan of Hindustan – Allaudin Khilji.",,,,,,,,Movie,Romance, International, Historical,Licensed,Yes,3,8
Mujhse Fraaandship Karoge,Hindi,6.9,104,2011,13+,"If Rahul has the voice and looks, Vishal, has the brains. If Malvika, can get heads turning, Preity, can say a million things. What Vishal and Preity can't do, is spell it out to Malvika and Rahul that they heart them. So on Facebook, Vishal becomes Rahul, Preity becomes Malvika and they start chatting. They do a great job of pretending to be someone else. But how long can you fake it?",,,,,,,,Movie,International, Romance,,Licensed,Yes,1,3
Mariah Carey's All I Want For Christmas Is You,English,None,90,2017,All,"Based on her iconic Christmas song, this all-new movie features Mariah Carey's music and narration in a loving story about little Mariah's Christmas wish for a puppy.",,,,,,,,Movie,Kids,,,Licensed,Yes,14,23
Fanaa,Hindi,7.2,168,2006,13+,"Zooni (Kajol), a blind Kashmiri girl, meets Rehan Qadri (Aamir Khan), a local Delhi tour guide and an incorrigible flirt. Her friends warn her against him but she chooses to ignore them. Rehan is fascinated by Zooni and wants her to see life as it should be seen. What Zooni doesn’t know is that Rehan has another side to him- something that can not only change her life, but can also destroy it.",,,,,,,,Movie,International, Drama, Romance,Licensed,Yes,1,9
Jack Ryan: Shadow Recruit,Hindi,6.2,105,2014,13+,Jack Ryan must quickly evolve from soldier to analyst to full-fledged operative to stop a devastating terrorist plot against the United States.,,,,,,,,Movie,Adventure, Action,,Licensed,No,2,2
Bandobast,Telugu,6.3,163,2019,13+,"In a world of political rivalry and corporate expansion, competition for supremacy is prevalent. Amidst such harsh climate for dominance, the lives of visionaries and leaders are always under threat. This film is about the life of security guards for such men. The challenges that they face, the risks that they take and their personal life, friends and love.",,,,,,,,Movie,Action, International,,Licensed,Yes,1,9
Natha Pure Aata,Marathi,None,143,2005,All,"Natha (Makrand Anaspure), a young man, spends most of his time daydreaming. One day, he is shocked when his dreams mysteriously come true, getting him involved in hilarious and bizarre situations.",,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,1
K.G.F: Chapter 1 (Hindi),Hindi,8.2,154,2018,13+,KGF Chapter 1 is a film based on the gold mines that represents absolute power. The film is based on power struggle to rule these fields which eventually becomes one man’s destiny and his final destination.,,,,,,,,Movie,International, Action, Drama,Licensed,Yes,1,12
Ek Unad Divas,Marathi,8.3,91,2005,All,"Vishwas (Ashok Saraf) is a workaholic businessman who hasn't truly enjoyed life. One day he meets his friend Govinda who makes him realize that one can stay happy within limited means. Govinda's approach towards life forces Vishwas to rethink whether he is really living life to the fullest. He feels he has missed out on a lot of things , decides to let loose and has a fantastic , fulfilling day!",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,1
Yatra (Telugu),Telugu,8.2,125,2019,All,An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,,,,,,,,Movie,International, Drama,,Licensed,Yes,1,6
Stripper,English,5.9,90,1986,18+,Professional strippers compete in a major competition at a Las Vegas stripper's convention.,,,,,,,,Documentary,Documentary,,,Licensed,No,1,1
Deck the Halls,English,5,92,2006,13+,An optometrist with rigid concepts about Christmas tradition is enraged by a new neighbor who sets out to put so many Christmas lights on his house that they'll be seen in space.,,,,,,,,Movie,Comedy,,,Licensed,Yes,8,21
Daredevil,English,5.3,103,2003,18+,"Daredevil, the blind vigilante hero with hyper acute senses, brings powerful crime lord kingpin to justice and quashes his assassin bulls eye for murdering love interest Elektra.",,,,,,,,Movie,Action, Suspense,,Licensed,Yes,7,27
Khabardar,Marathi,6.9,150,2005,All,"Bharat, a crime reporter with the newspaper 'Khabardar' is assigned a task by his boss Gauri to fetch news on an escaped prisoner, Anna. Maruti, a simple truck driver becomes a witness to a murder committed by Anna. But in an unexpected turn of events, Maruti is accused of the murder and makes a run for his life. Maruti teams up with Bharat to uncover the truth and bring Anna to justice.",,,,,,,,Movie,International, Comedy, Suspense,Licensed,Yes,1,1
Sullu,Malayalam,6.6,102,2019,All,Sullu a survival thriller Revolves around Jithu the protagonist and his relationship with his parents. Jithu a 9 year old boy is very mischievous and couldn't tolerate his moms pamperings and his father's anger issues. One day while playing hide n seek games with his cousins he accidentally get stuck in wardobe which change the life of him and the people around him.,,,,,,,,Movie,International, Drama,,Licensed,Yes,1,4
Odeya,Kannada,4.4,162,2019,13+,"Hero Gajendra owns a transport company and also takes care of local residents, citizens and poor people with utmost care and affection. He and his four brothers lead a happy life helping the needy and protecting them from anti-social elements.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,6
Chitralahari,Telugu,7.1,119,2019,All,"Vijay(Sai Dharam Tej) is an engineering graduate who develops an app and keeps approaching various companies. But to his bad luck, he gets rejected most of the time. Left with no choice, he starts working at a TV shop and falls in love with Lahari(Kalyani Priyadarshan). But things change with the entry of Shanti(Nivetha Pehturaj) as Vijay loses his love and hope in life.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,9
Sawaal,Kannada,6.1,118,2014,NR,"Sawaal is a 2014 Indian Kannada film, directed by Dhananjay Balaji and Produced by K. Thimmaraju. The film stars Prajwal Devaraj, K Mutthuraj, Abhay, Sona Chopra, Shobhraj, Jai Jagadish, Raju Thalikote, Sadhu Kokila and Bullet Prakash in lead roles. The music of the film was composed by V. Manohar.",,,,,,,,Movie,English,,,Licensed,Yes,1,1
Vinci Da,Bengali,7.3,113,2019,16+,"At the time when Vinci Da, an extremely talented make-up artist, struggling in his professional life, faces disasters because of his straight forwardness and arrogance; enters Adi Bose, a serial killer, changing Vinci Da's life forever.",,,,,,,,Movie,International, Suspense,,Licensed,Yes,1,7
The Upside,English,7,125,2019,16+,"Dell (Kevin Hart) is paroled, unemployed, and unable to see his child. Fate landed him the opportunity of a lifetime – taking care of a multi-millionaire named Phillip (Bryan Cranston) who is paralyzed from the neck down. But can a fast-talking ex-con really take care of someone else — let alone win over Philip's skeptical assistant (Nicole Kidman)? Life for Dell and Phillip may never be the same.",,,,,,,,Movie,Drama, Comedy,,Original,No,8,29
Fidaa,Bengali,4.9,146,2018,13+,"A romantic story of Ishaan ( Yash ) and Khushi ( Sanjana ) - two different people, with a different perspective on love, life and philosophies. How their love blossoms, misunderstandings happen due to their ego. This is about how their relationship evolves.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,5
War (Hindi),Hindi,6.5,151,2019,13+,"An elite shadow unit of RAW led by agent Kabir (Hrithik Roshan) focusses on maximum risk missions. Khalid (Tiger Shroff), a soldier with a murky past, struggles to get into Kabir’s team and finally manages to convince him of his dedication & loyalty. Now, when Kabir mysteriously goes rogue, Khalid is assigned the task of hunting down his mentor. Can he track him? A deadly war begins.",,,,,,,,Movie,Suspense, Action, Drama,Licensed,Yes,1,9
Middle Class Melodies,Telugu,7.7,135,2020,16+,"A comedy drama depicting the congenial lives of the middle class in a village and the ambitions of a young man who moves to a nearby city to pursue his dream of owning a hotel. The story surrounds middle class families, their dreams, beliefs, struggles and hope presented in a light hearted dramedy.",,,,,,,,Movie,Drama, Comedy,,Licensed,Yes,1,1
Adimurai,Kannada,5.7,140,2020,All,An ancient Martial art form of Tamilnadu is in the verge of extinction. The hero wants to make it popular yet again among the current generation showcasing it's rich values & merits. Will the hero be able to accomplish his desire ?,,,,,,,,Movie,Drama, Action,,Licensed,Yes,2,1
Second Best,English,6.8,105,1994,13+,"Academy Award-winner and Golden Globe-nominee William Hurt ('Syriana,' 'The Village') stars in this touching story about a lonely, unmarried mail clerk.",,,,,,,,Movie,Drama,,,Licensed,Yes,6,18
Ghawre Bairey Aaj,Bengali,6.3,133,2019,16+,"A modern retelling of Rabindranath Tagore's classic novel, the film chronicles a triangular love story which is as much a story of passionate romance as it is of clashing ideologies.",,,,,,,,Movie,Drama,,,Licensed,Yes,1,6
Theeran Adhigaaram Ondru,Tamil,8.2,156,2017,13+,"Theeran, a police officer is entrusted with the task to solve the mystery behind a series of murders and burglaries. The only clues left behind are the fingerprints of the culprits. How he solves the case, forms the crux.",,,,,,,,Movie,Action, International,,Licensed,Yes,1,10
Winner,Tamil,6.3,145,2003,13+,"Fed up of Sakthi's hooliganism, his parents send him to the village to stay with his grandparents. But things happen otherwise as he gets into more trouble with the family of the girl he loves.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,3
Another 48 Hrs.,English,5.9,95,1990,18+,"Reggie and Jack return in the smash sequel that’s “better than the first!”. How much better? For starters, the mob puts a price on Reggie’s head. The bus transporting him from the pen flips over about 17 times. And the night is still young.",,,,,,,,Movie,Action, Comedy,,Licensed,Yes,11,28
Aruvi,Tamil,8.5,130,2017,13+,A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story.,,,,,,,,Movie,International, Drama, Comedy,Licensed,Yes,1,9
Jumper,English,6.1,88,2008,13+,The epic adventures of a man who discovers that he possesses the exhilarating ability to instantly teleport anywhere in the world he can imagine.,,,,,,,,Movie,Action,,,Licensed,Yes,8,22
Avane Srimannarayana,Kannada,7.9,183,2019,13+,"In pursuit of solving a long-held mystery of Amaravati, Narayana - the quirky new cop in the town - has to get past a dreaded clan of dacoits and its fierce leader Jairam. Directed by Sachin Ravi, Avane Srimannarayana stars Rakshit Shetty in the lead role.",,,,,,,,Movie,Action, International, Comedy,Licensed,Yes,1,4
Vellai Pookal,Tamil,7.2,2,2019,13+,"Vellai Pookal is a thriller based on the story of a retired Indian cop who travels to the USA to meet his son and fatefully finds himself caught in a web of disappearance, death, and deceit. Follow Rudhran through his experiences in the Pacific Northwest and you will smile, laugh heartily, gasp with fear and be chilled with thrills as he unravels the mystery of the kidnappings in his neighborhood.",,,,,,,,Movie,Suspense, International,,Licensed,Yes,1,8
Imaikkaa Nodigal,Tamil,7.4,168,2018,16+,"A suave CBI officer (Nayanthara), is in search of a serial killer who kidnaps and kills the children of important people. The killer, however, is targeting his nemesis next.",,,,,,,,Movie,Suspense,,,Licensed,Yes,1,9
Ta Ra Rum Pum,Hindi,5.6,155,2007,All,"""When RV (Saif Ali Khan) is spotted by Harry (Jaaved Jaafery) the Manager of a failing Racing car team, everything changes for RV and the team. They shoot to the top. The dream is complete when he meets Radhika (Rani Mukerji) and both tie the knot. But when he meets with an accident, he loses everything he had once gained. RV is on the road, but can he reclaim the glory for his family? """,,,,,,,,Movie,International, Drama, Romance,Licensed,Yes,1,8
Ente Ummante Peru,Malayalam,6.7,128,2018,13+,The life and journey of Hameed to find his biological mother and how his life changes when Aisha comes into his life.,,,,,,,,Movie,Drama,,,Licensed,Yes,1,7
Saaho (Telugu),Telugu,5.2,169,2019,13+,"After many innocents become scapegoats in a mind boggling robbery, an undercover super cop is summoned to the city. While the investigation progresses, dark secrets about one of the biggest mafias of the world surfaces but with a bundle of mysteries attached.",,,,,,,,Movie,International, Action,,Licensed,Yes,1,7
Chambal,Kannada,7.4,109,2019,13+,"Subhash is a young and dynamic IAS officer. His relentless and uncompromising way of working sends shivers across the corridors of power, cutting across political and business circles. Being incorruptible and principled, his idealism and righteousness soon become a threat to the entire system.",,,,,,,,Movie,Action, Drama,,Licensed,Yes,1,5
The Lift,English,4.6,70,2020,16+,"Apparently Sito and Ana are a happy couple. During a fight, Ana follows Sito to the lift. They argue on the way down, but as they reach the lobby, the lift returns to the 10th floor and the fight starts again. They are caught in a time loop. Sito is aware of this, but Ana is not. So, he must convince her of what's going on. Before they find a way out they'll have to fix their whole relationship.",,,,,,,,Movie,Science Fiction, Suspense, Comedy,Licensed,Yes,3,3
Mahanati (Malayalam),Malayalam,8.5,166,2018,All,"Mahanati is a film about the rise of the first female south Indian superstar – Savitri. Her story one of the most heart wrenching romantic tragedies of our times.This film tells a story of the Mahanati; her life, her journey to fame, and the dramatic downfall. Keerthy Suresh, elegantly brought Savitri to life, and Gemini Ganesan, played by Dulquer Salman, makes this film a true pleasure to watch.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,3
Luv Ka The End,Hindi,4.8,106,2011,13+,"Rhea is the typical girl next door who is in love with Luv Nanda, a rich and famous boy in college. As they plan to take their relationship to the next level, Rhea realises that Luv is not as nice as she thought. So, she decides to get even and bring Luv down! All in the span of one night. Buckle up for one crazy night as the girls discover the meaning of love, life, friendship and more.",,,,,,,,Movie,International, Drama, Comedy,Licensed,Yes,1,5
Girlz,Marathi,4.3,134,2019,13+,"An 18 year teenager Mati, wants to live a bold life like many other girls. Her mother realizes this & imposes restrictions on her. She feels dejected and thinks her life has become boring and worthless. She embarks on a solo trip to Goa & makes friends with two more young girls of her age, who comes from different family backgrounds.",,,,,,,,Movie,Drama, Comedy,,Licensed,Yes,1,6
Kapoor & Sons,Hindi,7.7,137,2016,13+,"Amarjeet Kapoor's (Rishi Kapoor) dying wish is that his children and grandchildren take a family picture together and have it titled as, 'Kapoor and Sons- since 1921'. What seems to be an easy task turns out much harder than expected when one secret after another about each family member is revealed. Watch to find out if this dysfunctional family can carry out an old man's dying wish.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,10
Lafangey Parindey,Hindi,5.2,126,2010,13+,"When Pinky (Deepika Padukone), a girl from the slums, loses her eyesight in an accident, she doesn’t lose her will and determination. Nandu (Neil Nitin Mukesh), an underground boxing champ, decides to teach her how to see without eyes and help her roller skate her way to success. An intriguing journey of a blindfolded street fighter and a blind dancer who set out to achieve the impossible.",,,,,,,,Movie,International, Romance, Drama,Licensed,Yes,1,1
Runaway Jury,English,7.1,127,2003,13+,"A jury member in a potentially precedent-setting trial against a gun manufacturer, joins forces with a jury ""consultant"" who is trying to manipulate the outcome.",,,,,,,,Movie,Drama, Suspense,,Licensed,Yes,8,22
Don't Say a Word,English,6.3,113,2001,18+,A New York psychologist is forced to treat a mentally unstable patient with a violent past to secure the freedom of his kidnapped daughter.,,,,,,,,Movie,Suspense, Drama,,Licensed,Yes,3,6
NOTA,Telugu,6.4,144,2018,16+,Varun (Vijay Devarakonda) is forced to become the CM of Tamil Nadu when his father (Nasser) is imprisoned and loses his CM chair. He is an easy going youth who stays the same even after becoming the CM until he realizes his responsibilities and power and decides to change the society and politics with the support of his advisor Mahendran (Sathyaraj).,,,,,,,,Movie,International, Suspense, Drama,Licensed,Yes,1,9
